a	<font color=red size=+2><b>a\n</b></font><br><br><font color=black>a [ə]\n   ein\n</font><br>
aback	<font color=red size=+2><b>aback\n</b></font><br><br><font color=black>aback [əbæk]\n   erstaunt; rückwärts; überrascht\n</font><br>
abacus	<font color=red size=+2><b>abacus\n</b></font><br><br><font color=black>abacus [æbəkəs]\n   Rechenbrett\n</font><br>
a bad risc	<font color=red size=+2><b>a bad risc\n</b></font><br><br><font color=black>a bad risc [əbædrisk]\n   ein erhöhtes Risiko\n</font><br>
abaft	<font color=red size=+2><b>abaft\n</b></font><br><br><font color=black>abaft [əbæft]\n   hinter\n</font><br>
a bag of nerves	<font color=red size=+2><b>a bag of nerves\n</b></font><br><br><font color=black>a bag of nerves [əbægɔfnə:vz]\n   ein Nervenbündel\n</font><br>
abandoned	<font color=red size=+2><b>abandoned\n</b></font><br><br><font color=black>abandoned [əbændənd]\n   aufgegeben; aufgelassen; herrenlos; sitzengelassen; verlassen\n</font><br>
abandoning	<font color=red size=+2><b>abandoning\n</b></font><br><br><font color=black>abandoning [əbændəniŋ]\n   aufgebend; sitzenlassend\n</font><br>
abandonment	<font color=red size=+2><b>abandonment\n</b></font><br><br><font color=black>abandonment [əbændənmənt]\n   Aufgabe; Nichtannahme; Verlassenheit; Verzicht\n</font><br>
abandonment of action	<font color=red size=+2><b>abandonment of action\n</b></font><br><br><font color=black>abandonment of action [əbændənməntɔfækʃən]\n   Klagerücknahme\n</font><br>
abandonment of domicile	<font color=red size=+2><b>abandonment of domicile\n</b></font><br><br><font color=black>abandonment of domicile [əbændənməntɔfdɔmisail]\n   Aufgabe des Wohnsitzes; Wohnsitzaufgabe\n</font><br>
abandonment of option	<font color=red size=+2><b>abandonment of option\n</b></font><br><br><font color=black>abandonment of option [əbændənməntɔfɔpʃən]\n   Optionsaufgabe\n</font><br>
abandonment of position	<font color=red size=+2><b>abandonment of position\n</b></font><br><br><font color=black>abandonment of position [əbændənməntɔfpəziʃən]\n   Aufgabe einer Stellung; Stellungsaufgabe\n</font><br>
abandonment of service	<font color=red size=+2><b>abandonment of service\n</b></font><br><br><font color=black>abandonment of service [əbændənməntɔfsə:vis]\n   Abschaltung; Serviceabschaltung\n</font><br>
abandonment stage	<font color=red size=+2><b>abandonment stage\n</b></font><br><br><font color=black>abandonment stage [əbændənməntsteidʒ]\n   Niedergangsphase\n</font><br>
abandons	<font color=red size=+2><b>abandons\n</b></font><br><br><font color=black>abandons [əbændənz]\n   gibt auf; lässt sitzen\n</font><br>
abased	<font color=red size=+2><b>abased\n</b></font><br><br><font color=black>abased [əbeist]\n   erniedrigte\n</font><br>
